qname	qlength	qstart	qend	strand	tname	tlength	tstart	tend	divergence	mapq	attributes
7	474387	371920	372644	-	163221692	1477	341	1029	0.0594	60	mm:7;ins:2,36;del:0,0;score:605
1	1238593	728334	728684	-	163225394	2453	1058	1407	0.0086	60	mm:2;ins:1,1;del:0,0;score:332
1	1238593	116649	116994	-	163239908	1334	108	453	0.0000	60	mm:0;ins:0,0;del:0,0;score:345
11	237718	21048	21230	+	163242519	1558	1024	1206	0.0055	33	mm:1;ins:0,0;del:0,0;score:177
25	13316	6429	6568	-	163242519	1558	1205	1344	0.0000	60	mm:0;ins:0,0;del:0,0;score:139
1	1238593	472479	473057	+	163246057	1870	0	579	0.0138	25	mm:7;ins:0,0;del:1,1;score:536
6	591782	427333	427441	+	163250794	1501	1393	1501	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
7	474387	344534	345317	+	163259986	1100	0	767	0.0520	38	mm:15;ins:1,21;del:1,5;score:649
15	103233	89523	89701	+	163262320	1480	1157	1335	0.0000	0	mm:0;ins:0,0;del:0,0;score:178
1	1238593	628609	628928	-	163270841	1643	996	1315	0.0094	16	mm:3;ins:0,0;del:0,0;score:304
2	676873	46518	46679	-	163274166	2179	0	161	0.0062	60	mm:1;ins:0,0;del:0,0;score:156
3	369480	85135	85378	-	163275292	4946	2242	2485	0.0206	60	mm:5;ins:0,0;del:0,0;score:218
1	1238593	1022979	1023089	+	163275292	4946	2375	2485	0.0273	60	mm:3;ins:0,0;del:0,0;score:95
1	1238593	863623	864499	+	163322684	1284	0	875	0.0320	60	mm:27;ins:1,1;del:0,0;score:733
27	13983	3092	3968	+	163322684	1284	0	875	0.0320	60	mm:27;ins:1,1;del:0,0;score:733
27	13983	9212	10088	-	163322684	1284	0	875	0.0320	60	mm:27;ins:1,1;del:0,0;score:733
6	591782	193109	193384	-	163345380	1150	105	380	0.0182	60	mm:5;ins:0,0;del:0,0;score:250
5	308816	179144	179517	-	163361266	2045	1639	2011	0.0214	60	mm:7;ins:1,1;del:0,0;score:330
8	284015	64466	66782	+	163371390	2297	0	2297	0.0397	60	mm:73;ins:2,19;del:0,0;score:1901
1	1238593	699310	699420	-	163385829	1311	603	713	0.0091	21	mm:1;ins:0,0;del:0,0;score:105
6	591782	520347	521291	-	163406218	944	0	944	0.0212	33	mm:20;ins:0,0;del:0,0;score:844
9	183372	155471	155704	-	163408397	1399	1014	1247	0.0258	0	mm:6;ins:0,0;del:0,0;score:203
2	676873	145584	146477	+	163414557	1211	25	918	0.0392	60	mm:35;ins:0,0;del:0,0;score:718
2	676873	454283	457380	+	163428020	3097	0	3097	0.0000	60	mm:0;ins:0,0;del:0,0;score:3097
6	591782	503197	503329	+	163428836	3590	645	777	0.0000	30	mm:0;ins:0,0;del:0,0;score:132
5	308816	148428	148803	-	163440094	1519	920	1295	0.0160	4	mm:6;ins:0,0;del:0,0;score:345
9	183372	46629	51269	-	163443733	9517	4351	8909	0.0624	0	mm:186;ins:8,93;del:3,11;score:3447
8	284015	230677	232421	-	163444744	1958	226	1958	0.0247	60	mm:31;ins:1,12;del:0,0;score:1559
7	474387	126076	128719	+	163450221	2643	0	2643	0.0322	60	mm:85;ins:0,0;del:0,0;score:2218
10	150036	61920	63756	+	163466476	1773	0	1773	0.0538	60	mm:26;ins:4,68;del:1,5;score:1535
7	474387	465798	466371	-	163473218	1214	0	569	0.0209	60	mm:8;ins:1,4;del:0,0;score:519
8	284015	113390	113554	-	163473218	1214	663	827	0.0427	60	mm:7;ins:0,0;del:0,0;score:129
18	87812	16365	16502	+	163473218	1214	1077	1214	0.0073	60	mm:1;ins:0,0;del:0,0;score:132
20	62468	201	338	+	163473218	1214	1077	1214	0.0073	60	mm:1;ins:0,0;del:0,0;score:132
18	87812	24775	24912	-	163473218	1214	1077	1214	0.0073	60	mm:1;ins:0,0;del:0,0;score:132
7	474387	120964	121269	+	163477040	812	321	625	0.0196	60	mm:3;ins:1,2;del:1,1;score:273
10	150036	130615	130783	-	163478497	1117	0	168	0.0060	18	mm:1;ins:0,0;del:0,0;score:163
1	1238593	394169	394394	-	163496451	1951	169	394	0.0178	22	mm:4;ins:0,0;del:0,0;score:205
10	150036	66720	66811	+	163496451	1951	455	546	0.0110	60	mm:1;ins:0,0;del:0,0;score:86
1	1238593	457161	457539	+	163496451	1951	1573	1951	0.0026	60	mm:1;ins:0,0;del:0,0;score:373
3	369480	31498	33023	+	163507457	1525	0	1525	0.0000	60	mm:0;ins:0,0;del:0,0;score:1525
5	308816	94776	95727	-	163519334	951	0	951	0.0000	60	mm:0;ins:0,0;del:0,0;score:951
4	319932	267378	267878	-	163531722	1851	0	500	0.0280	60	mm:14;ins:0,0;del:0,0;score:430
7	474387	32409	32891	+	163545111	1466	0	489	0.0266	60	mm:6;ins:0,0;del:2,7;score:433
7	474387	246070	246178	+	163552526	1490	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
3	369480	34778	35095	+	163552526	1490	873	1190	0.0158	60	mm:5;ins:0,0;del:0,0;score:292
14	116408	18715	21541	-	163554312	2826	0	2826	0.0000	60	mm:0;ins:0,0;del:0,0;score:2826
8	284015	191184	192333	+	163584554	2169	1020	2169	0.0000	12	mm:0;ins:0,0;del:0,0;score:1149
8	284015	259580	260647	-	163586828	1066	0	1066	0.0084	60	mm:8;ins:1,1;del:0,0;score:1019
11	237718	44140	44793	-	163590884	1868	792	1445	0.0352	60	mm:23;ins:0,0;del:0,0;score:538
6	591782	342423	343083	-	163600980	978	318	978	0.0030	60	mm:2;ins:0,0;del:0,0;score:650
1	1238593	107180	109208	+	163640637	2028	0	2028	0.0000	60	mm:0;ins:0,0;del:0,0;score:2028
17	150032	26220	26295	-	163642801	1199	947	1022	0.0133	60	mm:1;ins:0,0;del:0,0;score:70
6	591782	510061	511170	+	163671897	2609	1500	2609	0.0225	60	mm:25;ins:0,0;del:0,0;score:984
5	308816	6780	7939	+	163677606	1159	0	1159	0.0147	60	mm:17;ins:0,0;del:0,0;score:1074
1	1238593	163912	164236	-	163687378	1095	0	325	0.0185	60	mm:5;ins:0,0;del:1,1;score:292
4	319932	43592	44191	-	163693259	1851	510	1105	0.0367	32	mm:18;ins:1,4;del:0,0;score:495
14	116408	43009	43390	-	163698438	959	578	959	0.0026	60	mm:1;ins:0,0;del:0,0;score:376
9	183372	125939	126246	-	163703636	1933	1620	1927	0.0456	0	mm:14;ins:0,0;del:0,0;score:237
6	591782	57035	57218	-	163704887	1148	739	922	0.0109	0	mm:2;ins:0,0;del:0,0;score:173
16	107813	56601	58622	-	163709396	2021	0	2021	0.0000	60	mm:0;ins:0,0;del:0,0;score:2021
14	116408	51791	54237	+	163710077	4203	487	2854	0.0639	60	mm:54;ins:4,91;del:3,12;score:1940
18	87812	25132	26485	+	163710077	4203	2850	4203	0.0331	60	mm:35;ins:1,5;del:1,5;score:1151
16	107813	87562	87731	-	163724739	1401	587	756	0.0296	27	mm:5;ins:0,0;del:0,0;score:144
16	107813	79331	79416	-	163724739	1401	587	672	0.0118	8	mm:1;ins:0,0;del:0,0;score:80
1	1238593	982087	982836	+	163726102	1178	393	1142	0.0307	60	mm:23;ins:0,0;del:0,0;score:634
12	131948	114387	115442	+	163728594	3493	0	1060	0.0208	60	mm:17;ins:0,0;del:1,5;score:959
3	369480	270467	270762	-	163728594	3493	1208	1503	0.0203	60	mm:6;ins:0,0;del:0,0;score:265
3	369480	270388	270471	+	163728594	3493	1601	1684	0.0120	60	mm:1;ins:0,0;del:0,0;score:78
2	676873	224416	225066	+	163729757	803	189	803	0.0769	13	mm:14;ins:2,36;del:0,0;score:496
29	5367	517	1534	+	163736619	1328	292	1328	0.0521	0	mm:35;ins:0,0;del:2,19;score:811
3	369480	246735	247310	-	163768569	1544	0	575	0.0052	60	mm:3;ins:0,0;del:0,0;score:560
5	308816	86219	86371	+	163768569	1544	574	730	0.0256	60	mm:0;ins:0,0;del:1,4;score:142
3	369480	246445	246597	-	163768569	1544	574	730	0.0256	60	mm:0;ins:0,0;del:1,4;score:142
5	308816	204307	205325	-	163783408	1601	0	1021	0.0264	53	mm:22;ins:1,1;del:1,4;score:890
27	13983	10653	12373	+	163811458	1720	0	1720	0.0000	60	mm:0;ins:0,0;del:0,0;score:1720
1	1238593	861338	863058	-	163811458	1720	0	1720	0.0000	60	mm:0;ins:0,0;del:0,0;score:1720
27	13983	807	2527	-	163811458	1720	0	1720	0.0000	60	mm:0;ins:0,0;del:0,0;score:1720
3	369480	349942	350089	+	163813656	3318	929	1070	0.0544	60	mm:2;ins:1,6;del:0,0;score:119
2	676873	490434	491846	+	163820708	2449	1037	2449	0.0319	60	mm:45;ins:0,0;del:0,0;score:1187
13	131654	119735	119803	-	163821219	2965	1188	1256	0.0000	60	mm:0;ins:0,0;del:0,0;score:68
7	474387	427533	429509	+	163852303	1976	0	1976	0.0000	60	mm:0;ins:0,0;del:0,0;score:1976
2	676873	104221	104329	-	163861347	1614	1506	1614	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
13	131654	4638	4793	+	163905422	1628	135	290	0.0129	60	mm:2;ins:0,0;del:0,0;score:145
19	62488	59463	59618	+	163905422	1628	135	290	0.0129	60	mm:2;ins:0,0;del:0,0;score:145
1	1238593	840664	840819	-	163905422	1628	135	290	0.0129	60	mm:2;ins:0,0;del:0,0;score:145
6	591782	291496	292459	+	163918074	963	0	963	0.0000	60	mm:0;ins:0,0;del:0,0;score:963
3	369480	369372	369480	-	163918074	963	855	963	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
22	29686	361	469	-	163918074	963	855	963	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
1	1238593	1178779	1178888	-	163922502	1391	835	944	0.0459	0	mm:5;ins:0,0;del:0,0;score:84
23	48977	37841	39309	+	163924959	1633	0	1466	0.0252	60	mm:35;ins:1,2;del:0,0;score:1283
23	48977	32034	33502	-	163924959	1633	0	1466	0.0252	60	mm:35;ins:1,2;del:0,0;score:1283
1	1238593	997766	997942	+	163925488	1916	830	1006	0.0398	60	mm:7;ins:0,0;del:0,0;score:141
2	676873	522908	523032	-	163927039	1022	87	215	0.0469	60	mm:2;ins:0,0;del:1,4;score:104
23	48977	26515	26640	+	163929713	1020	376	501	0.0000	0	mm:0;ins:0,0;del:0,0;score:125
13	131654	74019	74318	-	163935416	1703	1262	1566	0.0263	60	mm:3;ins:0,0;del:1,5;score:273
5	308816	107697	107819	-	163953011	1367	390	511	0.0246	0	mm:2;ins:1,1;del:0,0;score:104
1	1238593	1170670	1170864	+	163953224	1799	1605	1799	0.0206	60	mm:4;ins:0,0;del:0,0;score:174
8	284015	212658	214783	+	163965451	7314	1672	3795	0.0381	60	mm:79;ins:2,2;del:0,0;score:1714
8	284015	209809	211285	+	163986094	1450	0	1450	0.0393	60	mm:32;ins:3,26;del:0,0;score:1246
20	62468	13340	13829	-	163990774	1956	1413	1902	0.0204	60	mm:10;ins:0,0;del:0,0;score:439
5	308816	297092	298746	+	163990989	1654	0	1654	0.0000	60	mm:0;ins:0,0;del:0,0;score:1654
12	131948	6292	7946	+	163990989	1654	0	1654	0.0000	60	mm:0;ins:0,0;del:0,0;score:1654
2	676873	170624	171187	-	163991001	1443	686	1249	0.0266	12	mm:15;ins:0,0;del:0,0;score:488
1	1238593	498215	499088	-	163997468	878	0	878	0.0285	60	mm:20;ins:0,0;del:1,5;score:762
1	1238593	426946	427111	+	164004510	3965	3456	3621	0.0121	60	mm:2;ins:0,0;del:0,0;score:155
8	284015	177294	178771	-	164015508	1483	0	1483	0.0202	60	mm:24;ins:0,0;del:1,6;score:1345
1	1238593	439972	440171	-	164017906	1280	1081	1280	0.0201	60	mm:4;ins:0,0;del:0,0;score:179
15	103233	90516	90706	-	164029950	1187	888	1078	0.0158	0	mm:3;ins:0,0;del:0,0;score:175
6	591782	269696	270164	-	164059954	2413	304	831	0.1770	9	mm:27;ins:1,4;del:14,63;score:172
6	591782	470600	473504	+	164064868	2906	0	2906	0.0220	60	mm:62;ins:0,0;del:1,2;score:2586
2	676873	574446	575609	-	164078983	1163	0	1163	0.0232	60	mm:27;ins:0,0;del:0,0;score:1028
2	676873	516351	516605	+	164089254	1038	784	1038	0.0118	60	mm:3;ins:0,0;del:0,0;score:239
17	150032	81800	81902	-	164089264	1424	767	869	0.0098	60	mm:1;ins:0,0;del:0,0;score:97
1	1238593	811163	811896	-	164093347	1208	475	1208	0.0150	60	mm:11;ins:0,0;del:0,0;score:678
1	1238593	506179	506287	+	164095665	1176	1068	1176	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
5	308816	55856	56137	+	164098649	1591	842	1123	0.0249	60	mm:7;ins:0,0;del:0,0;score:246
1	1238593	755629	757261	-	164101290	1646	0	1646	0.0261	60	mm:29;ins:0,0;del:3,14;score:1455
1	1238593	176432	178826	-	164108983	8038	0	2388	0.0276	60	mm:60;ins:2,6;del:0,0;score:2070
18	87812	8470	8546	-	164108983	8038	3591	3667	0.0263	60	mm:2;ins:0,0;del:0,0;score:66
5	308816	0	2134	-	164108983	8038	3660	5820	0.0882	54	mm:88;ins:3,40;del:1,66;score:1524
18	87812	6243	8377	-	164108983	8038	3660	5820	0.0882	54	mm:88;ins:3,40;del:1,66;score:1524
6	591782	448599	450667	+	164108983	8038	3920	6054	0.0781	43	mm:91;ins:1,5;del:2,71;score:1514
18	87812	5578	6282	-	164108983	8038	7334	8038	0.0199	60	mm:14;ins:0,0;del:0,0;score:634
14	116408	112166	113381	+	164118552	1206	0	1206	0.0362	60	mm:35;ins:1,9;del:0,0;score:1016
7	474387	299747	301113	-	164118955	1905	585	1905	0.0593	60	mm:35;ins:2,46;del:0,0;score:1087
2	676873	466981	469936	-	164120179	3534	483	3459	0.0692	17	mm:179;ins:2,3;del:7,24;score:1976
1	1238593	190297	191848	+	164126060	1551	0	1551	0.0000	60	mm:0;ins:0,0;del:0,0;score:1551
3	369480	14864	15128	+	164131574	1775	0	264	0.0000	60	mm:0;ins:0,0;del:0,0;score:264
2	676873	507673	507783	+	164131574	1775	950	1060	0.0000	60	mm:0;ins:0,0;del:0,0;score:110
2	676873	506823	507546	-	164131574	1775	1052	1775	0.0000	60	mm:0;ins:0,0;del:0,0;score:723
30	5296	0	403	-	164133663	994	0	403	0.0099	29	mm:4;ins:0,0;del:0,0;score:383
9	183372	133461	134567	+	164134858	2264	0	1101	0.0324	60	mm:21;ins:2,10;del:1,5;score:958
4	319932	115800	117543	+	164141075	1743	0	1743	0.0000	60	mm:0;ins:0,0;del:0,0;score:1743
3	369480	283249	283397	+	164146220	1413	680	828	0.0541	59	mm:8;ins:0,0;del:0,0;score:108
11	237718	50639	50986	+	164163965	1136	245	593	0.0144	60	mm:4;ins:0,0;del:1,1;score:320
12	131948	113290	114542	-	164166944	1252	0	1252	0.0168	60	mm:21;ins:0,0;del:0,0;score:1147
3	369480	151043	151741	-	164183332	1661	963	1661	0.0000	60	mm:0;ins:0,0;del:0,0;score:698
3	369480	66065	66917	-	164184164	854	2	851	0.0505	60	mm:40;ins:2,3;del:0,0;score:634
4	319932	238860	242541	-	164191727	3681	0	3681	0.0000	60	mm:0;ins:0,0;del:0,0;score:3681
9	183372	8441	9856	+	164199184	1432	0	1414	0.1063	60	mm:140;ins:2,6;del:1,5;score:680
8	284015	267483	271694	+	164203901	4211	0	4211	0.0000	60	mm:0;ins:0,0;del:0,0;score:4211
2	676873	261264	265475	-	164203901	4211	0	4211	0.0000	60	mm:0;ins:0,0;del:0,0;score:4211
11	237718	232046	236257	-	164203901	4211	0	4211	0.0000	60	mm:0;ins:0,0;del:0,0;score:4211
3	369480	346783	347158	-	164213188	1740	437	812	0.0480	58	mm:18;ins:0,0;del:0,0;score:285
1	1238593	617287	617681	+	164235516	1482	541	935	0.0533	0	mm:21;ins:0,0;del:0,0;score:289
6	591782	277528	277722	+	164235516	1482	1155	1349	0.0412	16	mm:8;ins:0,0;del:0,0;score:154
1	1238593	39817	39936	+	164256808	1277	824	943	0.0000	0	mm:0;ins:0,0;del:0,0;score:119
6	591782	496671	496802	+	164288530	845	627	756	0.0382	60	mm:3;ins:1,2;del:0,0;score:106
7	474387	208269	208876	-	164307466	1815	1211	1815	0.0280	60	mm:14;ins:1,3;del:0,0;score:525
5	308816	275914	277312	+	164307625	1398	0	1398	0.0000	60	mm:0;ins:0,0;del:0,0;score:1398
3	369480	193616	193849	-	164312629	1884	1125	1358	0.0429	60	mm:10;ins:0,0;del:0,0;score:183
19	62488	29066	29352	-	164324135	4353	2123	2409	0.0000	60	mm:0;ins:0,0;del:0,0;score:286
3	369480	265032	265862	-	164324334	830	0	830	0.0072	60	mm:6;ins:0,0;del:0,0;score:800
4	319932	100793	102572	-	164327337	1779	0	1779	0.0000	60	mm:0;ins:0,0;del:0,0;score:1779
12	131948	118696	118890	-	164333584	698	361	555	0.0361	60	mm:7;ins:0,0;del:0,0;score:159
6	591782	15467	15554	-	164341181	1294	110	197	0.0230	0	mm:2;ins:0,0;del:0,0;score:77
2	676873	123811	124582	-	164356649	1389	0	772	0.0194	60	mm:8;ins:1,3;del:1,4;score:709
4	319932	220123	220316	-	164363936	4104	2134	2327	0.0259	60	mm:5;ins:0,0;del:0,0;score:168
6	591782	348241	348509	-	164365853	1567	1014	1282	0.0000	60	mm:0;ins:0,0;del:0,0;score:268
1	1238593	1121850	1122119	-	164366738	769	191	460	0.0223	60	mm:6;ins:0,0;del:0,0;score:239
6	591782	37394	37624	+	164366738	769	355	554	0.1522	60	mm:4;ins:1,31;del:0,0;score:142
25	13316	6915	7145	+	164366738	769	355	554	0.1522	60	mm:4;ins:1,31;del:0,0;score:142
6	591782	37083	37313	-	164366738	769	355	554	0.1522	60	mm:4;ins:1,31;del:0,0;score:142
2	676873	267800	267874	+	164367668	1168	358	432	0.0000	60	mm:0;ins:0,0;del:0,0;score:74
18	87812	54535	54613	+	164367668	1168	723	801	0.0256	60	mm:2;ins:0,0;del:0,0;score:68
2	676873	493457	493824	-	164370199	1106	603	970	0.0000	60	mm:0;ins:0,0;del:0,0;score:367
1	1238593	1226930	1228766	+	164372319	1836	0	1836	0.0000	18	mm:0;ins:0,0;del:0,0;score:1836
14	116408	59017	59125	+	164388888	3535	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
18	87812	0	348	-	164453504	1489	224	572	0.0402	4	mm:14;ins:0,0;del:0,0;score:278
7	474387	64636	64911	+	164455707	1710	332	607	0.0145	60	mm:4;ins:0,0;del:0,0;score:255
19	62488	19798	19956	-	164459811	1114	831	989	0.0253	60	mm:4;ins:0,0;del:0,0;score:138
2	676873	402166	404584	+	164471393	2418	0	2418	0.0000	60	mm:0;ins:0,0;del:0,0;score:2418
18	87812	23405	23629	+	164475436	1802	1450	1674	0.0268	0	mm:6;ins:0,0;del:0,0;score:194
18	87812	17648	17872	-	164475436	1802	1450	1674	0.0268	0	mm:6;ins:0,0;del:0,0;score:194
20	62468	1484	1708	-	164475436	1802	1450	1674	0.0268	0	mm:6;ins:0,0;del:0,0;score:194
3	369480	76734	76917	+	164475740	1467	176	359	0.0710	13	mm:13;ins:0,0;del:0,0;score:118
4	319932	136821	136929	+	164485275	1072	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
19	62488	26700	27068	-	164485331	2148	1084	1450	0.0353	16	mm:11;ins:2,2;del:0,0;score:297
5	308816	228072	228176	+	164487253	2258	1451	1555	0.0481	16	mm:5;ins:0,0;del:0,0;score:79
3	369480	168266	168559	+	164493859	991	698	991	0.0068	60	mm:2;ins:0,0;del:0,0;score:283
1	1238593	111374	111529	+	164512539	1550	0	155	0.0065	60	mm:1;ins:0,0;del:0,0;score:150
7	474387	185228	187443	+	164513623	2215	0	2215	0.0000	60	mm:0;ins:0,0;del:0,0;score:2215
11	237718	1771	3986	+	164513623	2215	0	2215	0.0000	60	mm:0;ins:0,0;del:0,0;score:2215
17	150032	17184	19399	+	164513623	2215	0	2215	0.0000	60	mm:0;ins:0,0;del:0,0;score:2215
17	150032	21082	23297	-	164513623	2215	0	2215	0.0000	60	mm:0;ins:0,0;del:0,0;score:2215
6	591782	365053	365486	-	164523557	1401	0	421	0.0639	60	mm:6;ins:3,17;del:1,5;score:340
6	591782	270709	270865	+	164523557	1401	169	313	0.1090	28	mm:5;ins:2,12;del:0,0;score:95
7	474387	224078	224219	+	164540609	1347	550	691	0.0496	18	mm:7;ins:0,0;del:0,0;score:106
6	591782	431215	431308	+	164553609	968	35	128	0.0108	60	mm:1;ins:0,0;del:0,0;score:88
19	62488	52155	52476	-	164559431	1587	0	321	0.0125	60	mm:4;ins:0,0;del:0,0;score:301
23	48977	35529	35671	+	164560308	671	151	293	0.0141	60	mm:2;ins:0,0;del:0,0;score:132
23	48977	35672	35814	-	164560308	671	151	293	0.0141	60	mm:2;ins:0,0;del:0,0;score:132
16	107813	4116	4233	+	164560308	671	198	315	0.0085	32	mm:1;ins:0,0;del:0,0;score:112
3	369480	0	195	+	164560308	671	220	420	0.0400	60	mm:3;ins:0,0;del:1,5;score:169
7	474387	248081	248338	-	164566974	1457	548	810	0.0344	60	mm:4;ins:0,0;del:1,5;score:226
1	1238593	672355	673005	-	164574059	914	0	626	0.0754	60	mm:25;ins:1,24;del:0,0;score:471
7	474387	169325	172353	-	164587260	3028	0	3028	0.0000	60	mm:0;ins:0,0;del:0,0;score:3028
6	591782	503124	503232	+	164589520	980	456	564	0.0185	60	mm:2;ins:0,0;del:0,0;score:98
1	1238593	277678	279421	-	164598332	1724	1	1724	0.0413	16	mm:52;ins:2,20;del:0,0;score:1431
6	591782	484695	485246	+	164613017	1155	0	551	0.0000	60	mm:0;ins:0,0;del:0,0;score:551
1	1238593	797167	797704	+	164616598	1263	0	537	0.0093	60	mm:5;ins:0,0;del:0,0;score:512
19	62488	48120	51997	-	164622276	3877	0	3877	0.0000	60	mm:0;ins:0,0;del:0,0;score:3877
2	676873	510871	511039	-	164683528	1159	0	168	0.0060	60	mm:1;ins:0,0;del:0,0;score:163
6	591782	481553	482684	-	164684151	1131	0	1131	0.0336	60	mm:38;ins:0,0;del:0,0;score:941
5	308816	259260	259398	+	164684722	1083	193	331	0.0362	7	mm:5;ins:0,0;del:0,0;score:113
2	676873	389589	391136	-	164688475	1456	0	1456	0.0782	60	mm:30;ins:1,91;del:0,0;score:1209
1	1238593	835569	836896	-	164696439	1327	0	1327	0.0000	60	mm:0;ins:0,0;del:0,0;score:1327
1	1238593	466857	467016	+	164701452	3140	0	159	0.0063	60	mm:1;ins:0,0;del:0,0;score:154
19	62488	12378	12854	+	164702339	1108	149	621	0.0651	60	mm:27;ins:2,4;del:0,0;score:321
23	48977	705	819	-	164720243	1439	859	973	0.0526	19	mm:6;ins:0,0;del:0,0;score:84
2	676873	236821	239761	+	164735534	2940	0	2940	0.0000	60	mm:0;ins:0,0;del:0,0;score:2940
21	33754	11230	11986	+	164743680	2127	0	754	0.0146	60	mm:9;ins:2,2;del:0,0;score:695
1	1238593	1143025	1145856	+	164757647	2831	0	2831	0.0000	60	mm:0;ins:0,0;del:0,0;score:2831
1	1238593	594292	595411	+	164769741	1119	0	1119	0.0000	60	mm:0;ins:0,0;del:0,0;score:1119
1	1238593	509948	511068	-	164792892	1120	0	1120	0.0098	60	mm:11;ins:0,0;del:0,0;score:1065
6	591782	100929	101680	+	164795785	1160	0	751	0.0266	60	mm:20;ins:0,0;del:0,0;score:651
1	1238593	853474	853792	+	164800153	806	298	616	0.0126	60	mm:4;ins:0,0;del:0,0;score:298
7	474387	353807	353924	-	164807424	942	267	384	0.0000	60	mm:0;ins:0,0;del:0,0;score:117
4	319932	281757	282651	-	164829024	2265	0	894	0.0000	60	mm:0;ins:0,0;del:0,0;score:894
2	676873	302705	303018	-	164834210	1273	784	1092	0.0447	15	mm:9;ins:1,5;del:0,0;score:252
1	1238593	1151370	1151512	+	164842276	712	235	377	0.0141	60	mm:2;ins:0,0;del:0,0;score:132
6	591782	250517	251696	+	164855021	1203	21	1203	0.0269	60	mm:17;ins:1,6;del:2,9;score:1055
1	1238593	1117986	1118900	-	164855385	1115	221	1115	0.0394	60	mm:16;ins:1,20;del:0,0;score:788
6	591782	376165	376710	-	164856396	1071	0	545	0.0073	60	mm:4;ins:0,0;del:0,0;score:525
9	183372	36652	36800	+	164866558	4755	3353	3501	0.0203	60	mm:3;ins:0,0;del:0,0;score:133
9	183372	6435	6674	-	164873416	1377	0	207	0.1548	60	mm:5;ins:1,32;del:0,0;score:144
1	1238593	957777	957874	-	164873416	1377	692	789	0.0103	0	mm:1;ins:0,0;del:0,0;score:92
2	676873	3958	4327	-	164875479	967	494	859	0.0136	60	mm:1;ins:1,4;del:0,0;score:350
2	676873	96995	97363	+	164880171	1205	288	644	0.0543	60	mm:8;ins:1,12;del:0,0;score:298
6	591782	137725	138846	+	164922793	1121	0	1121	0.0205	60	mm:23;ins:0,0;del:0,0;score:1006
6	591782	144717	145838	-	164922793	1121	0	1121	0.0205	60	mm:23;ins:0,0;del:0,0;score:1006
10	150036	146126	147247	-	164922793	1121	0	1121	0.0205	60	mm:23;ins:0,0;del:0,0;score:1006
9	183372	99048	99217	-	164923495	1086	0	169	0.0059	60	mm:1;ins:0,0;del:0,0;score:164
1	1238593	748784	750201	-	164927573	1417	0	1417	0.0000	60	mm:0;ins:0,0;del:0,0;score:1417
4	319932	48909	49604	-	164933535	1398	703	1398	0.0043	60	mm:3;ins:0,0;del:0,0;score:680
7	474387	242757	243077	+	164940543	1481	689	1005	0.0187	60	mm:2;ins:1,4;del:0,0;score:296
3	369480	243896	244413	+	164940543	1481	701	1214	0.0174	60	mm:5;ins:1,4;del:0,0;score:478
7	474387	257977	258271	+	164962165	1809	1244	1543	0.0500	18	mm:8;ins:1,1;del:1,6;score:234
21	33754	15010	15514	-	164964160	894	118	622	0.0258	16	mm:13;ins:0,0;del:0,0;score:439
9	183372	174897	175175	+	164964232	2301	2023	2301	0.0000	60	mm:0;ins:0,0;del:0,0;score:278
6	591782	5531	5639	-	164981196	1087	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
23	48977	36093	36534	+	164986533	1226	186	627	0.0317	60	mm:14;ins:0,0;del:0,0;score:371
23	48977	34809	35250	-	164986533	1226	186	627	0.0317	60	mm:14;ins:0,0;del:0,0;score:371
3	369480	75530	75952	-	164991165	4713	404	826	0.0071	60	mm:3;ins:0,0;del:0,0;score:407
2	676873	408808	409087	+	164991165	4713	827	1106	0.0251	8	mm:7;ins:0,0;del:0,0;score:244
16	107813	54923	55786	-	164991165	4713	3846	4713	0.0173	60	mm:9;ins:1,1;del:1,5;score:799
11	237718	14191	14290	-	164993973	1347	1094	1193	0.0202	0	mm:2;ins:0,0;del:0,0;score:89
3	369480	109685	111336	+	164994656	1651	0	1651	0.0000	60	mm:0;ins:0,0;del:0,0;score:1651
8	284015	25604	25695	-	165003317	962	35	126	0.0000	60	mm:0;ins:0,0;del:0,0;score:91
6	591782	550715	552999	-	165007930	2284	0	2284	0.0000	60	mm:0;ins:0,0;del:0,0;score:2284
1	1238593	343216	343293	-	165008685	2877	469	546	0.0000	60	mm:0;ins:0,0;del:0,0;score:77
1	1238593	199693	200533	-	165014544	1396	0	778	0.0905	60	mm:14;ins:1,62;del:0,0;score:640
3	369480	168718	169428	-	165014544	1396	686	1396	0.0085	60	mm:6;ins:0,0;del:0,0;score:680
17	150032	145281	146511	-	165017227	1585	0	1230	0.0089	60	mm:11;ins:0,0;del:0,0;score:1175
6	591782	571826	572369	-	165023530	839	0	543	0.0092	60	mm:5;ins:0,0;del:0,0;score:518
6	591782	570833	571066	-	165023530	839	544	777	0.0258	60	mm:6;ins:0,0;del:0,0;score:203
5	308816	291362	291947	+	165024695	885	300	885	0.0291	60	mm:17;ins:0,0;del:0,0;score:500
